"Part Number","Type","Status","Mounting Type","Capacitance","Voltage","Low Frequency Ripple Current","High Frequency Ripple Current","ESR @ 20°C/100kHz","Leakage Current","Temperature Range","Size","Life/Endurance","Vibration Resistant","AEC-Q200 Compliant","Packaging Type"
"UES1E101MPM","Aluminium","Mass Production","Radial Lead","100 µF","25 V","","","","75 µA","-40℃~85℃ °C","φ10x16L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES0J102MHM","Aluminium","End Of Life","Radial Lead","1 mF","6.3 V","","","","189 µA","-40℃~85℃ °C","φ12.5x25L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1C331MHM","Aluminium","Mass Production","Radial Lead","330 µF","16 V","","","","158.4 µA","-40℃~85℃ °C","φ12.5x20L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1V330MPM","Aluminium","Mass Production","Radial Lead","33 µF","35 V","","","","34.65 µA","-40℃~85℃ °C","φ10x12.5L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES0J470MEM","Aluminium","End Of Life","Radial Lead","47 µF","6.3 V","","","","8.883 µA","-40℃~85℃ °C","φ6.3x11L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES0J471MPM","Aluminium","End Of Life","Radial Lead","470 µF","6.3 V","","","","88.83 µA","-40℃~85℃ °C","φ10x20L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1C100MDM","Aluminium","End Of Life","Radial Lead","10 µF","16 V","","","","4.8 µA","-40℃~85℃ °C","φ5x11L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1H4R7MEM","Aluminium","End Of Life","Radial Lead","4.7 µF","50 V","","","","7.05 µA","-40℃~85℃ °C","φ6.3x11L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1C471MHM","Aluminium","Mass Production","Radial Lead","470 µF","16 V","","","","225.6 µA","-40℃~85℃ °C","φ12.5x25L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1E330MPM","Aluminium","Mass Production","Radial Lead","33 µF","25 V","","","","24.75 µA","-40℃~85℃ °C","φ8x11.5L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1H221MHM","Aluminium","Mass Production","Radial Lead","220 µF","50 V","","","","330 µA","-40℃~85℃ °C","φ16x25L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1A330MEM","Aluminium","End Of Life","Radial Lead","33 µF","10 V","","","","9.9 µA","-40℃~85℃ °C","φ6.3x11L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1C221MPM","Aluminium","Mass Production","Radial Lead","220 µF","16 V","","","","105.6 µA","-40℃~85℃ °C","φ10x20L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1E221MHM","Aluminium","Mass Production","Radial Lead","220 µF","25 V","","","","165 µA","-40℃~85℃ °C","φ12.5x25L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
